aspiration,doornumber,enginelocation,cylindernumber,enginesize,horsepower,highwaympg,price
0,4,0,4,108,94,31,10198
0,4,0,4,109,100,32,9995
0,2,0,4,146,116,30,9989
0,4,0,4,122,92,32,9988
0,2,0,4,109,90,29,9980
0,4,0,4,108,94,32,9960
1,2,0,4,110,116,30,9959
0,2,0,4,132,90,31,9895
0,2,0,4,146,116,30,9639
0,4,0,4,120,97,34,9549
0,2,0,4,98,112,29,9538
1,4,0,4,97,68,42,9495
0,2,0,4,98,112,29,9298
0,4,0,4,132,90,31,9295
1,4,0,4,110,116,30,9279
0,4,0,4,110,116,30,9279
0,4,0,4,98,70,34,9258
0,4,0,4,108,82,25,9233
0,2,0,4,110,86,33,9095
0,4,0,4,120,97,34,8949
0,4,0,4,122,92,34,8948
0,4,0,4,122,88,30,8921
0,4,0,4,122,88,30,8921
0,2,0,4,90,70,43,8916.5
0,4,0,4,90,70,43,8916.5
0,4,0,4,110,86,33,8845
0,2,0,4,122,84,32,8845
0,4,0,4,92,62,32,8778
1,2,0,4,98,102,30,8558
0,2,0,4,122,88,32,8499
0,4,0,4,122,84,32,8495
0,4,0,4,109,85,34,8495
0,2,0,4,146,116,30,8449
0,4,0,4,98,70,34,8358
0,2,0,4,97,69,37,8249
0,2,0,4,98,70,34,8238
0,4,0,4,109,85,34,8195
0,4,0,4,122,88,32,8189
0,2,0,4,98,70,34,8058
0,4,0,4,108,82,29,8013
0,4,0,4,97,69,37,7999
0,4,0,4,97,52,46,7995
0,2,0,4,109,85,34,7975
1,2,0,4,98,102,30,7957
1,2,0,4,98,102,30,7957
0,4,0,4,92,62,32,7898
0,4,0,4,110,56,36,7898
0,2,0,4,110,86,33,7895
0,2,0,4,97,69,37,7799
0,4,0,4,110,56,47,7788
0,4,0,4,108,82,33,7775
0,2,0,4,97,52,46,7775
0,4,0,4,98,70,47,7738
1,2,0,4,98,102,30,7689
0,4,0,4,90,68,38,7609
0,4,0,4,98,68,38,7609
0,2,0,4,108,73,31,7603
0,4,0,4,97,69,37,7499
0,4,0,4,108,82,32,7463
0,4,0,4,91,68,38,7395
0,4,0,4,97,69,37,7349
0,2,0,4,97,69,37,7299
0,4,0,4,92,76,34,7295
0,4,0,4,92,76,34,7295
0,4,0,4,98,70,37,7198
0,2,0,4,92,76,34,7129
0,4,0,4,108,82,37,7126
0,2,0,4,103,55,50,7099
0,2,0,4,108,73,31,7053
0,4,0,4,122,88,32,6989
0,4,0,4,98,70,37,6938
0,4,0,4,92,62,37,6918
0,2,0,4,92,76,38,6855
0,4,0,4,97,69,37,6849
0,2,0,4,91,68,38,6795
0,4,0,4,111,78,29,6785
0,4,0,4,91,68,38,6695
0,4,0,4,90,68,38,6692
0,4,0,4,90,68,38,6692
0,2,0,4,92,68,38,6669
0,2,0,4,97,69,37,6649
0,4,0,4,90,70,43,6575
0,2,0,4,92,76,34,6529
0,4,0,4,92,62,38,6488
0,2,0,4,92,58,54,6479
0,2,0,4,90,68,38,6377
0,2,0,4,92,62,38,6338
0,2,0,4,90,70,43,6295
0,4,0,4,90,68,38,6229
0,4,0,4,90,68,38,6229
0,2,0,4,92,68,38,6189
0,2,0,4,91,68,38,6095
0,2,0,4,90,68,41,5572
0,2,0,4,90,68,41,5572
0,2,0,4,97,69,37,5499
0,2,0,4,79,60,42,5399
0,2,0,4,92,68,41,5389
0,2,0,4,91,68,31,5195
0,2,0,3,61,48,53,5151
0,2,0,4,97,69,36,5118
